Model,Sampler,PR_AUC,ROC_AUC,F1_Score,Recall,Lift_Top10,Gain_Top10,Time_Sec
Stacking_CatBoost_LightGBM_meta_LR_simple,Passthrough,0.44257494468940045,0.9088339704438975,0.44334160463192723,0.30011198208286677,7.335160512327593,0.7334826427771557,147.95538711547852
Stacking_CatBoost_LightGBM_meta_MLP,Passthrough,0.442567109405042,0.9088951006476504,0.4406497292794669,0.2961926091825308,7.346359230667025,0.734602463605823,136.10323429107666
Stacking_CatBoost_LightGBM_meta_SVC,Passthrough,0.4424396432604033,0.9083685828728023,0.44398851046368487,0.30291153415453526,7.3295611531578775,0.7329227323628219,128.1284921169281
Stacking_CatBoost_LightGBM_meta_LR_balanced,Passthrough,0.44190921691498425,0.9129758267562167,0.24147982062780268,0.603023516237402,7.357557949006456,0.7357222844344905,124.26090788841248
Stacking_CatBoost_LightGBM_meta_Ridge,Passthrough,0.4415864462837473,0.9077375524806116,0.4437140509449466,0.3023516237402016,7.318362434818446,0.7318029115341546,137.4238727092743
Stacking_CatBoost_LightGBM_meta_LR_cv,Passthrough,0.44148283478262107,0.9122636688997,0.1979862932566207,0.6550951847704367,7.35195858983674,0.7351623740201568,150.22114157676697
Stacking_CatBoost_LightGBM_meta_RF,Passthrough,0.4274034231645909,0.9133102555381639,0.09869426309209613,0.7956326987681971,7.346359230667025,0.734602463605823,121.42128229141235
Stacking_CatBoost_LightGBM_meta_LGB,Passthrough,0.4230119385128372,0.9102897207749288,0.09174138148756156,0.8135498320268757,7.307163716479014,0.7306830907054871,121.12396287918091
Stacking_CatBoost_LightGBM_meta_XGB,Passthrough,0.41166004536631895,0.9134660486738637,0.09495939236510703,0.8085106382978723,7.35195858983674,0.7351623740201568,128.21278381347656
Stacking_CatBoost_LightGBM_meta_GB,Passthrough,0.3982717346946884,0.9133402667260668,0.4174636174636175,0.2810750279955207,7.39115410402475,0.7390817469204927,126.608633518219
